geo_id,geo_id2,block_group,tract,county,block_tract,total_pop,total_inc,inc_less_10k,inc_10k_14999,inc_15k_19999,inc_20k_24999,inc_25k_29999,inc_30k_34999,inc_35k_39999,inc_40k_44999,inc_45k_49999,inc_50k_59999,inc_60k_74999,inc_75k_99999,inc_100k_124999,inc_125k_149999,inc_150k_199999,inc_200k_more,total_labor,total_in_laborforce,total_notin_laborforce,total_civil_labor,emp_civil_labor,unemp_civil_labor,total_armedforces,total_vacdata,total_occ_homes,total_vac_homes,total_ordata,total_owner,total_renter
1500000US132731202001,132731202001,1,120200,Terrell County,1_120200,451,217,26,23,38,8,12,9,9,5,30,17,18,8,4,4,5,1,385,159,226,159,143,16,0,287,217,70,451,253,198
1500000US132731202002,132731202002,2,120200,Terrell County,2_120200,950,338,29,24,18,34,21,12,16,19,2,29,35,49,34,12,4,0,791,479,312,479,449,30,0,491,338,153,950,546,404
1500000US132731203001,132731203001,1,120300,Terrell County,1_120300,602,294,48,23,11,25,5,23,0,6,32,54,21,18,9,0,12,7,552,347,205,347,347,0,0,354,294,60,602,435,167
1500000US132731203002,132731203002,2,120300,Terrell County,2_120300,1176,426,90,66,52,33,42,0,35,0,9,19,9,54,17,0,0,0,942,456,486,456,398,58,0,558,426,132,1176,313,863
1500000US132731203003,132731203003,3,120300,Terrell County,3_120300,731,173,27,9,0,25,34,0,15,4,17,0,13,8,21,0,0,0,492,333,159,333,301,32,0,271,173,98,731,269,462
1500000US132731203004,132731203004,4,120300,Terrell County,4_120300,505,204,31,41,8,7,54,0,14,6,0,0,9,21,0,0,0,13,372,217,155,217,209,8,0,291,204,87,505,187,318
1500000US132731204001,132731204001,1,120400,Terrell County,1_120400,1306,428,15,49,90,19,0,9,5,19,8,69,84,46,0,6,9,0,998,364,634,364,317,47,0,489,428,61,1007,525,482
1500000US132731204002,132731204002,2,120400,Terrell County,2_120400,840,320,89,17,35,0,15,26,0,29,0,21,18,42,0,11,0,17,707,315,392,315,258,57,0,320,320,0,840,487,353
1500000US132731204003,132731204003,3,120400,Terrell County,3_120400,873,313,79,56,19,18,47,21,35,0,0,11,6,5,0,8,8,0,680,356,324,356,281,75,0,465,313,152,853,259,594
1500000US132731205001,132731205001,1,120500,Terrell County,1_120500,1544,577,43,40,18,18,27,28,32,52,33,36,67,147,21,0,6,9,1189,732,457,732,665,67,0,651,577,74,1544,1135,409
1500000US133219501001,133219501001,1,950100,Worth County,1_950100,1029,459,77,29,24,43,60,44,10,24,11,27,4,54,8,19,21,4,884,400,484,400,330,70,0,664,459,205,1029,677,352
1500000US133219501002,133219501002,2,950100,Worth County,2_950100,1999,656,114,21,16,70,7,22,25,31,43,105,77,79,13,22,0,11,1682,926,756,926,786,140,0,766,656,110,1999,1314,685
1500000US133219502001,133219502001,1,950200,Worth County,1_950200,1465,638,56,23,13,105,14,0,15,71,0,14,58,118,52,51,9,39,1260,590,670,590,590,0,0,638,638,0,1443,1124,319
1500000US133219502002,133219502002,2,950200,Worth County,2_950200,2135,799,71,39,16,34,32,54,96,105,41,36,124,70,0,14,26,41,1562,982,580,982,931,51,0,935,799,136,2135,1794,341
1500000US133219502003,133219502003,3,950200,Worth County,3_950200,1691,585,55,25,61,160,0,12,26,15,22,12,116,33,48,0,0,0,1055,641,414,641,551,90,0,632,585,47,1691,485,1206
1500000US133219502004,133219502004,4,950200,Worth County,4_950200,1806,661,164,27,36,15,100,10,16,0,45,74,0,46,59,44,25,0,1437,596,841,596,497,99,0,707,661,46,1701,898,803
1500000US133219504001,133219504001,1,950400,Worth County,1_950400,1629,616,55,16,59,85,46,12,48,45,40,27,65,52,29,8,23,6,1255,730,525,730,665,65,0,733,616,117,1629,1057,572
1500000US133219504002,133219504002,2,950400,Worth County,2_950400,798,262,0,52,4,10,0,8,10,0,0,41,44,56,0,9,18,10,598,398,200,398,328,70,0,378,262,116,798,647,151
1500000US133219504003,133219504003,3,950400,Worth County,3_950400,620,255,42,41,0,0,14,7,11,16,6,28,13,17,0,33,19,8,521,317,204,317,303,14,0,304,255,49,620,594,26
1500000US133219504004,133219504004,4,950400,Worth County,4_950400,1346,440,13,16,35,57,66,7,9,45,45,14,30,76,6,17,2,2,1015,434,581,434,406,28,0,549,440,109,1346,1166,180
1500000US133219505001,133219505001,1,950500,Worth County,1_950500,1556,695,119,21,26,13,76,4,27,19,22,50,150,118,38,0,12,0,1364,786,578,786,769,17,0,925,695,230,1556,1233,323
1500000US133219505002,133219505002,2,950500,Worth County,2_950500,1265,487,117,46,8,31,19,14,8,0,65,34,45,61,26,0,13,0,1026,525,501,525,498,27,0,510,487,23,1265,625,640
1500000US133219505003,133219505003,3,950500,Worth County,3_950500,1206,492,68,42,31,72,55,40,73,27,7,0,18,52,0,0,0,7,1042,638,404,638,538,100,0,565,492,73,1176,495,681
1500000US133219506001,133219506001,1,950600,Worth County,1_950600,1511,542,17,26,49,54,30,51,68,4,10,53,74,69,8,0,29,0,1143,665,478,660,580,80,5,590,542,48,1511,1271,240
1500000US133219506002,133219506002,2,950600,Worth County,2_950600,753,312,18,15,8,26,24,20,41,6,11,46,24,28,24,10,5,6,675,403,272,403,381,22,0,420,312,108,753,617,136
